id,video_length,title,description,published,tag_count,view_count,like_count,dislike_count,comment_count
t2hiAqnL9Oo,0 days 00:17:20,【食完筆記本 日本篇】日本IFBB賽後吃爆！人生中最好吃的法式吐司找到了！,"拍攝日期：2022/11

這次跟著選手到日本比賽，阿瑞成功拿卡非常開心之外，我們也做了食完筆記本日本篇的挑戰，
把築地、豐洲市場的美食們掃蕩一波，大家如果到日本，也可以跟著我們的筆記吃吃看，寫些！
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/



🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-08-27 12:30:28+00:00,7,59855,1051,0,52
pB-YU8vPIwY,0 days 00:20:24,前進日本奧賽！費用超貴但舞台超棒！阿瑞成功古典拿卡，準備Road to Olympia！,"現在就訂購 Surfshark VPN：https://surfshark.tw/partner/Peeta 
並輸入我的優惠代碼 [Peeta]，取得獨家優惠外加額外3個月免費！
還有30天免費退款保證！

拍攝時間 2022/11
去年11月中，跟著Alisa還有阿瑞到日本比業餘奧賽，
就讓我們看看當時阿瑞拿卡的比賽現場吧！
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/



🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-08-26 12:30:21+00:00,7,93168,1730,0,82
KsoAv3-mFbo,0 days 00:26:54,四角戀去沖繩！顛覆想像的苦瓜三明治！平時沒在走路的三人，能成功走完2萬步嗎？ft.  阿滴@rayduenglish HOOK@helloiamhook 大謙@DaChien 國泰世華商業銀行,"第一次跟四角戀一起出國！
這也是我第一次和YouTuber們一起出國，
一邊工作又一邊體驗當地美食的經驗很特別。
走了非常多的路、但也吃了很多沖繩的美食，真的非常讚。

有這次的機會，就要感謝「國泰世華銀行」的邀請！
讓我們出國消費的時候，搭配CUBE App使用也享有小樹點回饋
其中的五大權益『玩數位、樂饗購、去旅行、集精選、慶生月』
不同生活情境也能輕鬆選到最適合自己的方案！

有存錢目的、分帳也可以善用他的母子帳戶功能，
不但操作方便、也可以設定自動扣款，
不必再下載其他存錢App，
只要透過 CUBE App就能一站搞定！

#國泰世華CUBEApp #CUBEApp #銀行app #線上開戶 #母子帳戶
#本影片由國泰世華銀行贊助播出
#謹慎理財信用無價
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/



🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-08-20 10:30:06+00:00,7,453602,9350,0,200
JHIxMGHeXvk,0 days 00:27:21,拳上後3萬步走起！超越KFC的蛋塔竟然在早餐店！S級清粥小菜超好吃｜台北市宵夜篇｜食物路跑EP3,"就像之前比完自然健美就安排食物路跑，
這次拳上完也是要給他走起來，把各種美食消滅。
這次我們走的是台北市宵夜地圖，把拳上消耗掉的一次給他補回來！
從傍晚開始走真的比較不會熱，比起白天真的舒服很多，
各位如有想看我們去哪裡路跑，也歡迎留言跟我們說，
寫些！

這次我請企劃把我們的店家整理出來，各位想走走看的請參考：
【食物路跑 宵夜篇】https://goo.gl/maps/KH1BDyfuaKpivhhZA

本集影片由 @twsamsung Samsung Galaxy Z Fold 4 贊助
#GalaxyZFold4 #GalaxyWatch5Pro

使用 Samsung Galaxy Z Fold4 也已經半年了，
7.6寸大螢幕用起來真的是非常舒服！
折疊的關係，拍照和錄影都很方便，
搭配上Galaxy Watch5 Pro，不但不用再額外準備腳架、也免擔心照片有沒有拍好
Galaxy Z Fold4 的多重視窗分割畫面也讓我在對一些工作上的資訊時非常方便。
推薦給各位！

📱Galaxy Z Fold 4
7.6吋可折式大螢幕，出門時甚至可以免帶腳架，放在桌上就自拍！

⌚Galaxy Watch5 Pro
連動手機地圖導航，不用拿出手機就能看到地圖
自拍倒數設定，拍照再也不求人
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/



🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-08-13 12:30:17+00:00,7,130210,1433,0,50
FA3FoUbvOiU,0 days 00:16:01,第一次上小巨蛋打拳！第一回合用勾拳讓6yi7倒地，回家多抱媽媽｜2023 拳上The Cage ｜ Ft. 館長 @GenghisKhan_3cm 、6yi7@6yi7​,"終於之戰，終於登上小巨蛋！
人生的第一場拳賽就在小巨蛋打真的是非常榮幸。
這一個多月以來真的很認真練習，真的已經付出最大的努力了，
希望各位喜歡我這三回合的表現！

也希望未來有第二屆、第三屆，讓更多拳擊的選手能夠在舞台上被看見！

畫面提供｜鍇睿行銷 Carry Live、館長成吉思汗
主辦單位｜@jpex_official
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/



🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-08-06 12:30:15+00:00,7,182826,2664,0,142
eWQMJQ0SP7g,0 days 00:08:32,『喝水』就影響體態的三大重點！水腫是水喝太多？茶/咖啡/代糖飲料 能代替水嗎？,"時常很多人在意自己的外貌是否因為昨天吃太鹹、或水喝太少所以水腫，
或是有水喝太多才會有水腫的疑問和不確定姓。
既然這個問題有著如同天平兩端的疑惑，
就讓我們來好好討論這個主題，希望對各位有幫助，寫些。
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/



🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-07-30 12:30:31+00:00,7,131246,2379,0,83
QLvTtshSus8,0 days 00:06:47,3個增強你的肌肥大效果，有效的半程訓練讓你更有感！｜Long Muscle Length Training 伸長肌肉訓練｜最有效的訓練方式,"Long Muscle Length Training 伸長肌肉訓練
是近幾年國外研究發覺能更有效增肌的訓練方式，
目標肌群被拉長、也就是離心做得好，肌肥大的進步成效是很好的，
今天就來分享給各位，寫些
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/
► 跟著Pro吃睡練｜https://www.pressplay.cc/project/720062E5421278DBFA78496008D3FBE7/about



🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-07-23 12:30:14+00:00,7,49197,1209,0,28
G4gJ6F8HGn4,0 days 00:18:54,拳王泰森的鬼神級訓練！狂野與爆發力的拳風下，是2000下深蹲、500次頸部訓練、一週六練的堅持｜Eat & Train Like Mike Tyson｜【#挑戰名人系列 Ep.6】,"最近這一個多月以來我幾乎每天都在打拳！
拳王Tyson想必大家早就聽說他的傳奇了，
我最近在準備拳上也時常看他的影片，
看他是怎麼這麼強的，學個幾招用來對付6yi7。
也因此發現到他的訓練菜單，覺得滿有趣的就想挑戰看看，
不過究竟這2000個深蹲到底如何有趣
就讓我們看下去，寫些。
-
頻道粉絲專屬的福利來了
8/31以前用連結https://pse.is/526fd7 報名，
出示影片活動訊息截圖，到櫃上完成15分鐘肌膚檢測，
就會贈送價值730元的【海鹽潔面膠1ml】+【緊膚精露25ml】+【抗油光保濕乳1ml】+【藍藻精華1ml】(限男性)，送完為止！

家裡附近沒有碧兒泉專櫃的觀眾，在碧兒泉官網下單
輸入【PEETAFORFAN】，消費加贈極量深層潔面霜，數量有限各位把握機會！

特別感謝｜夢多 @TVMondoTV
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/



🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-07-16 12:30:07+00:00,7,110640,1706,0,142
Nf-eDkPWRKE,0 days 00:06:57,【深度解析系列】滑輪下拉 (下)｜正握、窄握、反握，究竟會有什麼差異？一次講解給你聽,"上集的內容我們介紹了下拉這個動作，
這次我們就把延伸出去的各種握法，效果上有什麼差異，
一次補充給各位，謝些！
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/

🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-07-09 12:30:18+00:00,7,32409,691,0,17
koo5o_1zLtM,0 days 00:12:51,正面吃下館長一拳！跟館長車輪戰3分鐘，小巨蛋前的拳上賽前賽！｜2023 拳上The Cage  上集 Ft. @Notorious_3cm @Toyz6 @Avis__0207 @SOON.6669,"最近受邀去拳上2023與6yi7一戰，秉持著有仇報仇、沒仇練拳頭的精神，
這一個多月以來我真的非常認真的在練拳，雖然很累，但對於這項運動也覺得越來越好玩。
主辦單位幫我們安排了與館長 @Notorious_3cm 的賽前賽，
至於我是怎麼存活下來的，就讓我們看下去。

#拳上  🔴 【線上直播票】只在 Hami Video｜7/5 (三) 19:00 小巨蛋正式開打 🥊 JPEX 隆重鉅獻 🔥
主辦單位 @jpex_official
圖片來源 @carry__live
- - -
Welcome to PEETAVERSE：
► 我的生活｜https://www.instagram.com/peeta.gege/
► TeamJoined服飾代言｜https://www.teamjoined.com.tw/
► 12 週打造理想體態｜https://www.pressplay.cc/link/FC4A5EAD
► Naturecan CBD｜https://naturecan-taiwan.pxf.io/oe6VNo
► STEPX 健身房｜https://www.stepx.com.tw/
► Peeta TakeTake 健康餐｜https://taketake.peeta.tw/
► STEPV 補給品｜https://www.stepv.com.tw/



🎬人氣影片🎬
►減脂系列影片：https://goo.gl/pnocPT
►女性好體態關鍵：https://goo.gl/bQLZ7D
►重訓課表分享：https://goo.gl/PYs3vq
►一天吃一萬卡：https://goo.gl/YNUk5s",2023-07-02 12:30:31+00:00,7,666333,5467,0,289
